job titel,company name,locations,skills
Senior Python AI Developer,Vigtas -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 8 Yrs of Exp · IT/Software Development · AI · CI/CD · Python · Software Development · APIs · NLP · TensorFlow · Docker · Agile
Backend Engineer (Python) - EdTech Startup,Darsel -,"Cairo, Egypt ",Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Python · backend · APIs · Backend Engineering · Software Engineering · Software Development · Amazon Web Services · Google Cloud Platform · Computer Science
Senior Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Development · Computer Science · Software Development · Software Engineering · APIs · Information Technology (IT) · Communication skills · Team Leadership
Python Developer,ZTechnium -,"Nasr City, Cairo, Egypt ",InternshipOn-siteEntry Level · IT/Software Development · Computer Science · Information Technology (IT) · Python · orm · Communication · Data · Data Structures · Linux · OOP
Senior Python Developer,Softxpert Incorporation  -,"Bolkly, Alexandria, Egypt ",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Angular · Software Development · Software Engineering · Web Development · MySQL · Python · Django Framework
Data Entry,Confidential -,"Madina, Saudi Arabia ",Full TimeRemoteExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Data Entry · Microsoft Office · computer · Python · Python Scripting · Customer Service · Typing · typing skills
Senior Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · ERP · Information Technology (IT) · Java · JSF · MVC
Full Stack Developer,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Information Technology (IT) · Java · Software Development · Android Development · iOS Development · Dart Programming · Python
Odoo Implementer,Premier UPVC -,"Badr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo implementation · Odoo · ERP · Implementation · PostgreSQL · Python · Information Technology (IT) · Accounting
IoT Engineer,HITS Solutions -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IOT · Engineering · Computer Science · Information Technology (IT) · MQTT · Embedded Systems · Python · Azure
Data Engineer Team Lead,COB Solution  -,"Maadi, Cairo, Egypt ",Full TimeOn-siteManager · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Data · Information Technology (IT) · Software · Computer Engineering · AWS · Azure · Java
AI Trainer Technical Track Engineers & Developers,Avanguard -,"New Cairo, Cairo, Egypt ",Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Training/Instructor · AI · Engineering · Training · Analysis · AWS · Computer Science · Data Science · Python
Purchasing Assistant,Confidential -,"Madina, Saudi Arabia ",Full TimeRemoteExperienced · 2 - 5 Yrs of Exp · Administration · Logistics/Supply Chain · Purchasing/Procurement · Python · python development · Purchasing · Commerce · Procurement · Logistics · Supply
Chief Technology Officer,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeHybridManager · 10+ Yrs of Exp · C-Level Executive/GM/Director · Engineering - Telecom/Technology · Agile · business · Computer Engineering · Computer Science · CTO · Engineering · Finance · Information Technology (IT)
Kubernetes/Cloud Native Engineer(s),EXALT Technologies  -,"Sheraton, Cairo, Egypt ",Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · Engineering · Information Technology (IT) · Infrastructure · Linux · Networking
